Name,ID,Gene,Value
PC 63,A,MYC,18.12167843
PC 63,A,NFE2L2,16.88899099
PC 63,A,NFE2L3,20.13883744
PC 63,A,OCLN,18.75454173
PC 63,A,PARP1,17.05254518
PC 63,A,PCNA,17.7002772
PC 63,A,PECAM1,16.8213248
PC 63,A,E,18.00242877
PC 63,A,D,21.03497984
PC 63,A,C,13.04386616
PC 63,A,B,12.36474003
PC 63,A,A,12.77071261
PC 63,A,PI3,16.77251201
PC 63,A,S100P,15.55759503
PC 63,A,RB1,20.36080089
PC 63,A,PTEN,15.90709012
PC 63,A,G,18.2874577
PC 63,A,F,11.09947729
PC 63,A,STAT5A,19.94515768
PC 63,A,STAT3,17.30719997
PC 63,A,STAT1,18.38498891
PC 63,A,SOX7,22.71086687
PC 63,A,SNAI1,20.47501417
PC 63,A,SMYD2,18.21464652
PC 63,A,WNT5A,20.79902086
PC 63,A,VEGFA,19.80968786
PC 63,A,TWIST1,21.80717333
PC 63,A,TOP1,18.53003208
PC 63,A,TGFB1,17.974406
PC 63,A,PIK3C3,19.01487399
PC 63,A,FASLG,22.02876955
PC 63,A,FAS,19.50059222
PC 63,A,CD40,22.06422077
PC 63,A,HTRA2,21.9796086
PC 63,A,HIF1A,16.08336389
PC 63,A,HES1,19.2182354
PC 63,A,GSTP1,13.14690542
PC 63,A,GSTM1,21.20405578
PC 63,A,BAX,17.88042646
PC 63,A,NOTCH1,20.39121879
PC 63,A,NOS2,20.57891111
PC 63,A,MYD88,20.56540838
PC 63,A,IL1B,22.63754417
PC 63,A,TP53,18.46041959
PC 63,A,SOD2,17.3359398
PC 63,A,SNAI2,17.49485116
PC 63,A,SLPI,15.27040355
PC 63,A,RIPK3,19.723125
576,A,ABCB,15.08291588
576,A,ABCC1,17.47055873
576,A,ABCC3,15.66937912
576,A,AKT1,15.82273758
576,A,ALDH1A1,14.95064241
576,A,ALDH3A1,15.26631284
576,A,ANGPTL4,20.78677492
576,A,CASP8,16.53493613
576,A,CCND1,15.98228423
576,A,CD274,22.0799184
576,A,CD34,16.29805564
576,A,CD44,15.27708817
576,A,CDH1,14.52976498
576,A,CDH2,21.30727463
576,A,CDH5,16.69045615
576,A,CDKN1A,15.64036646
576,A,CDKN3,16.186762
576,A,CEACAM6,13.01734385
576,A,DNMT1,16.12825614
576,A,EGFR,17.15542523
576,A,ERCC1,17.43068342
576,A,FAP,20.70200247
576,A,FGF13,19.5474987
576,A,FGF2,19.76952356
576,A,FGFR2,17.94074691
576,A,GATA3,20.28891297
576,A,HMOX2,15.13224568
576,A,IGF1R,18.32590506
576,A,IL17A,17.94084711
576,A,IL18,15.02410827
576,A,IL6,18.16227411
576,A,KAT6A,15.46238341
576,A,KRAS,15.02469904
576,A,LATS2,18.59584436
576,A,LEF1,16.76754667
576,A,MCM2,15.7491945
576,A,MDM2,16.65010613
576,A,MLH1,17.16041286
576,A,MMP1,15.25531185
576,A,MUC1,10.88095943
576,A,MYC,15.12675131
576,A,NFE2L2,14.52823323
576,A,NFE2L3,16.48682648
576,A,OCLN,14.96720733
576,A,PARP1,14.4467228
576,A,PCNA,14.63076446
576,A,PECAM1,15.55441317
576,A,E,15.84540328
576,A,D,17.73972058
576,A,C,12.08128517
576,A,B,10.05161349
576,A,A,11.308488
576,A,PI3,10.85264489
576,A,S100P,12.10033903
576,A,RB1,17.47022891
576,A,PTEN,14.01706375
576,A,G,14.62764182
576,A,F,10.97857944
576,A,STAT5A,17.01085929
576,A,STAT3,14.64188115
576,A,STAT1,14.66751759
576,A,SOX7,19.35408882
576,A,SNAI1,16.8875163
576,A,SMYD2,16.36580037
576,A,WNT5A,18.64981311
576,A,VEGFA,12.79609551
576,A,TWIST1,20.83350631
576,A,TOP1,14.66421525
576,A,TGFB1,16.34726577
576,A,PIK3C3,16.4638336
576,A,IL12A,20.85191369
576,A,FASLG,18.21265106
576,A,FAS,18.51485111
576,A,CD40,15.64256605
576,A,HTRA2,18.26410404
576,A,HIF1A,14.06851092
576,A,HES1,16.87503993
576,A,GSTP1,10.98970801
576,A,GSTM1,16.34791938
576,A,BAX,17.00760967
576,A,NOX1,14.23764459
576,A,NOTCH1,18.33253874
576,A,NOS2,16.77392726
576,A,MYD88,17.08238681
576,A,IL1B,15.84781194
576,A,TP53,17.28247078
576,A,SOD2,12.71039438
576,A,SNAI2,16.29099667
576,A,SLPI,12.3737781
576,A,RIPK3,18.08692486
PC51,A,ABCC1,20.36441735
PC51,A,ABCC3,19.19362956
PC51,A,AKT1,18.87653668
PC51,A,ALDH1A1,17.42574401
PC51,A,ALDH3A1,16.77035528
PC51,A,CASP8,18.47416671
PC51,A,CCND1,19.56888987
PC51,A,CD274,22.27847908
PC51,A,CD34,19.0946956
PC51,A,CD44,18.49133937
PC51,A,CDH1,18.54668928
PC51,A,CDH2,21.38631481
PC51,A,CDH5,20.52593886
PC51,A,CDKN1A,18.59640126
PC51,A,CDKN3,17.83088084
PC51,A,CEACAM6,16.50822201
